                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6712,                 4.3521,                  4.396,                0.00116,                0.08333,                0.00101,                0.00011,                 4.3506,                 4.8054,                 4.1594,             0.00015003,             0.00015003,             0.00015003
                      2,                 3.3807,                 3.9776,                 4.1974,                0.00119,                0.08333,                0.00085,                  9e-05,                 4.3504,                 4.7941,                 4.1552,             0.00031046,             0.00031046,             0.00031046
                      3,                 3.1882,                 3.6096,                 3.9769,                0.00187,                0.13095,                0.00128,                0.00014,                 4.3525,                 4.7646,                 4.1518,             0.00046429,             0.00046429,             0.00046429
                      4,                 2.9071,                 3.3403,                 3.7417,                0.00105,                0.08333,                0.00064,                  7e-05,                 4.4323,                 4.7548,                 4.2015,             0.00061151,             0.00061151,             0.00061151
                      5,                 2.6805,                  3.117,                 3.6158,                0.00108,                0.08333,                0.00074,                  9e-05,                 4.5496,                 4.7288,                 4.2913,             0.00075214,             0.00075214,             0.00075214
                      6,                 2.7087,                 3.0149,                 3.4604,                0.00064,                0.10714,                 0.0006,                  6e-05,                 4.5175,                 4.6284,                 4.3011,             0.00088616,             0.00088616,             0.00088616
                      7,                  2.734,                 2.7631,                  3.351,                0.00076,                0.13095,                0.00092,                0.00013,                  4.517,                 4.5532,                 4.3349,              0.0010136,              0.0010136,              0.0010136
                      8,                 2.7398,                 2.8807,                 3.2941,                0.00102,                0.16667,                0.00119,                0.00014,                 4.4282,                  4.522,                 4.2433,              0.0011344,              0.0011344,              0.0011344
                      9,                 2.5633,                 2.7834,                 3.2084,                0.00115,                0.14286,                0.00106,                0.00013,                 4.4654,                 4.3421,                 4.2663,              0.0012486,              0.0012486,              0.0012486
                     10,                 2.5651,                 2.6571,                 3.1199,                 0.0024,                0.34524,                0.02557,                0.00813,                  3.878,                 4.2917,                 3.9886,              0.0013562,              0.0013562,              0.0013562
                     11,                 2.6848,                 2.7103,                 3.0774,                0.54734,                0.29762,                0.22567,                0.07624,                 2.0625,                 22.005,                  4.699,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.6411,                 2.8316,                 3.0049,                0.94274,                0.22619,                0.32833,                0.14031,                 2.0307,                 3.1023,                 2.5863,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.4568,                 2.4832,                 2.9069,                      1,                0.30688,                0.40324,                0.20853,                 2.1832,                 2.5147,                 2.6002,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.5082,                 2.4759,                 2.9605,                0.64115,                   0.25,                0.30847,                0.14037,                 1.8338,                 6.6049,                 2.7593,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.3652,                 2.2573,                  2.758,                0.71405,                 0.4881,                 0.3655,                0.19506,                  1.759,                 8.5173,                 2.5979,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.3046,                 2.2163,                 2.7936,                      1,                0.48417,                0.49629,                0.20816,                 2.0981,                 2.2317,                 2.3564,              0.0011719,              0.0011719,              0.0011719
                     17,                 2.3956,                  2.298,                 2.7871,                0.93364,                 0.4881,                0.48896,                0.24204,                 1.8867,                 2.3899,                 2.1279,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.2512,                 2.2801,                 2.6782,                0.92614,                0.46429,                0.49905,                0.24606,                 1.8742,                 3.7383,                  2.161,              0.0011059,              0.0011059,              0.0011059
                     19,                  2.188,                 2.0213,                 2.5833,                0.71899,                0.42857,                0.34301,                0.17235,                 1.7459,                 3.6071,                   2.15,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.1543,                 1.9506,                 2.5193,                0.92358,                0.46429,                0.50536,                0.28044,                 2.1239,                 1.9374,                  2.384,              0.0010399,              0.0010399,              0.0010399
                     21,                 2.1819,                 2.0436,                 2.5379,                0.92414,                0.39945,                 0.4871,                0.32273,                 1.9453,                 2.3255,                 2.2717,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.1391,                 1.9173,                 2.5338,                0.41947,                0.35714,                0.44407,                0.23114,                 2.1479,                 2.0463,                 2.5047,             0.00097386,             0.00097386,             0.00097386
                     23,                 2.1552,                 1.9932,                 2.5637,                0.57024,                0.29737,                0.40275,                0.23196,                 2.4145,                 2.7411,                 2.4854,             0.00094085,             0.00094085,             0.00094085
                     24,                 2.0034,                 1.8507,                 2.4491,                0.77783,                0.47619,                0.44277,                0.25697,                 1.7956,                 4.0869,                 2.1137,             0.00090785,             0.00090785,             0.00090785
                     25,                 2.0315,                 1.8045,                 2.3968,                0.89318,                0.41667,                0.51428,                0.29297,                 1.8271,                 2.1163,                 2.0195,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.0412,                   1.82,                 2.3988,                0.67304,                0.52281,                0.59736,                0.34027,                 1.8218,                 1.8987,                 2.0815,             0.00084184,             0.00084184,             0.00084184
                     27,                 2.0613,                 1.7933,                 2.3957,                0.55015,                0.59524,                0.63318,                0.39166,                 1.6867,                 1.6473,                 1.9715,             0.00080883,             0.00080883,             0.00080883
                     28,                 2.0122,                 1.6851,                 2.3737,                0.55463,                0.65476,                0.63426,                0.35098,                 1.7954,                 1.6951,                 2.1448,             0.00077582,             0.00077582,             0.00077582
                     29,                   1.92,                 1.7234,                 2.2717,                0.63279,                0.59524,                0.67191,                0.37632,                 1.8435,                 2.0314,                 2.1968,             0.00074282,             0.00074282,             0.00074282
                     30,                  1.963,                 1.7051,                 2.2853,                0.59015,                0.61451,                  0.617,                0.33752,                 1.8471,                 1.6298,                 2.2093,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.8649,                 1.6217,                  2.283,                0.68385,                0.63352,                0.65122,                0.38126,                 1.7384,                 1.6319,                 2.1089,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.8655,                 1.5613,                  2.249,                0.64506,                0.64827,                0.67519,                0.33213,                 1.9224,                  1.651,                 2.1976,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.7782,                 1.4954,                 2.2254,                0.63844,                0.70781,                0.68829,                0.37559,                 1.9834,                 1.8609,                 2.2203,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.8734,                 1.5183,                 2.2087,                0.69089,                0.65287,                0.70701,                0.32188,                 1.9471,                 1.6901,                 2.1821,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.8267,                 1.5399,                 2.2087,                0.76841,                0.61905,                0.68186,                0.35738,                 1.6898,                  1.511,                 1.9165,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.8784,                 1.4832,                 2.2084,                0.51433,                0.67857,                0.65193,                0.37326,                 1.6458,                 1.5061,                 1.8766,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.757,                 1.4416,                  2.147,                0.68414,                0.73386,                0.70036,                 0.4227,                 1.6738,                 1.3974,                 1.8957,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.7749,                 1.4152,                 2.1527,                0.62315,                0.64286,                0.60356,                0.38905,                 1.7476,                 1.5247,                 1.9902,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.7199,                 1.4271,                 2.1342,                 0.6812,                0.67857,                0.68281,                0.40924,                 1.6137,                 1.4135,                 1.9339,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.7392,                 1.3244,                 2.1441,                0.66685,                0.69048,                0.67597,                 0.3777,                  1.673,                 1.4777,                 1.9186,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.5944,                 1.5611,                 2.0276,                0.65029,                0.64552,                0.65472,                0.25744,                 2.0538,                 1.5402,                 2.0638,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.6518,                 1.4745,                 2.0372,                0.69157,                 0.6137,                0.63689,                0.22475,                 2.1126,                 1.5606,                 2.1337,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.4939,                 1.3407,                 1.9522,                0.71118,                0.64286,                0.67171,                0.34396,                 1.7193,                 1.3768,                  1.917,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.4068,                 1.2654,                 1.8734,                0.73059,                0.73226,                0.73298,                0.43784,                 1.5308,                 1.3849,                 1.8427,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.4058,                 1.1922,                  1.835,                0.68376,                0.82176,                0.77356,                0.47151,                 1.4943,                 1.5504,                 1.8396,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.4256,                 1.2561,                 1.8562,                0.59163,                0.80208,                0.70919,                0.44818,                 1.5061,                 1.7452,                 1.8576,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.3853,                 1.1754,                 1.7983,                0.63846,                0.75216,                0.72231,                0.45942,                 1.4863,                  1.632,                 1.8279,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.3594,                 1.1599,                  1.783,                0.71331,                 0.8254,                0.78976,                0.48471,                 1.4166,                 1.3717,                 1.7878,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.3923,                 1.1411,                 1.8052,                0.73083,                0.83367,                0.79226,                0.49175,                 1.3784,                 1.2963,                 1.7678,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.3321,                 1.1165,                 1.7805,                 0.7112,                0.84524,                0.75366,                0.47735,                  1.334,                 1.2218,                 1.7487,             4.9677e-05,             4.9677e-05,             4.9677e-05
